tick,observer_actor_id,ship_id,presence,px_mm,py_mm,pz_mm,vx_mm_s,vy_mm_s,vz_mm_s
366198,01a0b1c2-b010-7000-8000-000000000000,01a0c441-e0e7-71af-8b1d-ca2cf5125531,ACTIVE,-2155834,-249000,-1191170,997,94,64288
366198,01a0b1c2-b010-7000-8000-000000000000,01a0c441-e5c9-76eb-a77b-de784cb71f6a,ACTIVE,-2497605,249765,383,11713,-1129,3218
366200,01a0b1c2-b010-7000-8000-000000000000,01a0c441-d723-767b-90a3-bdbdd004e863,ACTIVE,0,-111682,2626468,0,9012,101171
366200,01a0b1c2-b010-7000-8000-000000000000,01a0c441-dc05-7521-a2e5-cffdd63883ba,ACTIVE,2473676,247764,152524,-161,-7,103876
366200,01a0b1c2-b010-7000-8000-000000000000,01a0c441-e0e7-71af-8b1d-ca2cf5125531,ACTIVE,-2155749,-248992,-1184479,803,75,67790
366200,01a0b1c2-b010-7000-8000-000000000000,01a0c441-e5c9-76eb-a77b-de784cb71f6a,ACTIVE,-2496232,249635,913,14359,-1352,6059
366202,01a0b1c2-b010-7000-8000-000000000000,01a0c441-d723-767b-90a3-bdbdd004e863,ACTIVE,0,-110946,2636848,0,6818,104675
366202,01a0b1c2-b010-7000-8000-000000000000,01a0c441-dc05-7521-a2e5-cffdd63883ba,ACTIVE,2473663,247764,163174,-127,-5,107376
366202,01a0b1c2-b010-7000-8000-000000000000,01a0c441-e0e7-71af-8b1d-ca2cf5125531,ACTIVE,-2155681,-248986,-1177437,644,60,71292
366202,01a0b1c2-b010-7000-8000-000000000000,01a0c441-e5c9-76eb-a77b-de784cb71f6a,ACTIVE,-2494638,249488,1780,16419,-1508,9588
366204,01a0b1c2-b010-7000-8000-000000000000,01a0c441-d723-767b-90a3-bdbdd004e863,ACTIVE,0,-110428,2647578,0,4624,108178
366204,01a0b1c2-b010-7000-8000-000000000000,01a0c441-dc05-7521-a2e5-cffdd63883ba,ACTIVE,2473652,247763,174174,-100,-4,110876
366204,01a0b1c2-b010-7000-8000-000000000000,01a0c441-e0e7-71af-8b1d-ca2cf5125531,ACTIVE,-2155626,-248981,-1170045,515,48,74793
366204,01a0b1c2-b010-7000-8000-000000000000,01a0c441-e5c9-76eb-a77b-de784cb71f6a,ACTIVE,-2492878,249329,3025,17960,-1610,13420
366206,01a0b1c2-b010-7000-8000-000000000000,01a0c441-d723-767b-90a3-bdbdd004e863,ACTIVE,0,-110131,2658658,0,2430,111682
366206,01a0b1c2-b010-7000-8000-000000000000,01a0c441-dc05-7521-a2e5-cffdd63883ba,ACTIVE,2473644,247763,185524,-79,-3,114376
366206,01a0b1c2-b010-7000-8000-000000000000,01a0c441-e0e7-71af-8b1d-ca2cf5125531,ACTIVE,-2155582,-248977,-1162303,412,38,78294
366206,01a0b1c2-b010-7000-8000-000000000000,01a0c441-e5c9-76eb-a77b-de784cb71f6a,ACTIVE,-2491001,249164,4666,18991,-1663,17421
