t_s,avail_bytes
131.219,4486
131.329,4486
131.438,4486
131.547,4486
131.657,4486
131.766,4486
131.86,4486
131.969,4486
132.079,4486
132.188,4486
132.297,4486
132.407,4486
132.5,4486
132.61,4486
132.719,4486
132.829,4486
132.938,4486
133.047,4486
133.141,4486
133.25,4486
133.36,4486
133.469,4486
133.579,4486
133.688,4486
133.782,4486
133.891,4486
134.0,4486
134.11,4486
134.219,4486
134.313,4486
134.422,4486
134.532,4486
134.641,4486
134.75,4486
134.86,4486
134.969,4486
135.063,4486
135.172,4486
135.282,4486
135.391,4486
135.5,4486
135.61,4486
135.719,4486
135.829,4486
135.922,4486
136.032,4486
136.141,4486
136.25,4486
136.36,4486
136.454,4486
136.563,4486
136.672,4486
136.782,4486
136.891,4486
137.0,4486
137.094,4486
137.204,4486
137.313,4486
137.422,4486
137.532,4486
137.641,4486
137.735,4486
137.844,4486
137.954,4486
138.063,4486
138.172,4486
138.282,4486
138.375,4486
138.485,4486
138.594,4486
138.704,4486
138.813,4486
138.907,4486
139.016,4486
139.125,4486
139.235,4486
139.344,4486
139.454,4486
139.563,4486
139.657,4486
139.766,4486
139.875,4486
139.985,4486
140.094,4486
140.204,4486
140.297,4486
140.407,4486
140.516,4486
140.625,4486
140.735,4486
140.844,4486
140.954,4486
141.047,4486
141.157,4486
141.266,4486
141.375,4486
141.469,4486
141.579,4486
141.688,4486
141.797,4486
141.907,4486
142.016,4486
142.11,4486
142.219,4486
142.329,4486
142.438,4486
142.547,4486
142.657,4486
142.766,4486
142.875,4486
142.969,4486
143.079,4486
143.188,4486
143.297,4486
143.407,4486
143.5,4486
143.61,4486
143.719,4486
143.829,4486
143.938,4486
144.047,4486
144.157,4486
144.25,4486
144.36,4486
144.469,4486
144.579,4486
144.688,4486
144.797,4486
144.891,4486
145.0,4486
145.11,4486
145.219,4486
145.329,4486
145.438,4486
145.532,4486
145.641,4486
145.75,4486
145.86,4486
145.969,4486
146.079,4486
146.172,4486
146.282,4486
146.391,4486
146.5,4486
146.61,4486
146.719,4486
146.813,4486
146.922,4486
147.032,4486
147.141,4486
147.25,4486
147.344,4486
147.454,4486
147.563,4486
147.672,4486
147.782,4486
147.875,4486
147.985,4486
148.094,4486
148.204,4486
148.313,4486
148.422,4486
148.532,4486
148.625,4486
148.735,4486
148.844,4486
148.954,4486
149.063,4486
149.157,4486
149.266,4486
149.375,4486
149.485,4486
149.594,4486
149.704,4486
149.797,4486
149.907,4486
150.016,4486
150.125,4486
150.235,4486
150.344,4486
150.438,4486
150.547,4486
150.657,4486
150.766,4486
150.875,4486
150.969,4486
151.079,4486
151.188,4486
151.297,4486
151.407,4486
151.516,4486
151.61,4486
151.719,4486
151.829,4486
151.938,4486
152.047,4486
152.157,4486
152.25,4486
152.36,4486
152.469,4486
152.579,4486
152.688,4486
152.782,4486
152.891,4486
153.0,4486
153.11,4486
153.219,4486
153.329,4486
153.422,4486
153.532,4486
153.641,4486
153.75,4486
153.86,4486
153.969,4486
154.063,4486
154.172,4486
154.282,4486
154.391,4486
154.5,4486
154.61,4486
154.719,4486
154.813,4486
154.922,4486
155.032,4486
155.141,4486
155.25,4486
155.36,4486
155.454,4486
155.563,4486
155.672,4486
155.782,4486
155.891,4486
155.985,4486
156.094,4486
156.204,4486
156.313,4486
156.422,4486
156.532,4486
156.625,4486
156.735,4486
156.844,4486
156.954,4486
157.063,4486
157.172,4486
157.282,4486
157.375,4486
157.485,4486
157.594,4486
157.704,4486
157.813,4486
157.922,4486
158.016,4486
158.125,4486
158.235,4486
158.344,4486
158.454,4486
158.563,4486
158.657,4486
158.766,4486
158.875,4486
158.985,4486
159.094,4486
159.204,4486
159.297,4486
159.407,4486
159.516,4486
159.625,4486
159.735,4486
159.844,4486
159.954,4486
160.063,4486
160.157,4486
160.266,4486
160.375,4486
160.485,4486
160.594,4486
160.688,4486
160.797,4486
160.907,4486
161.016,4486
161.125,4486
161.235,4486
161.329,4486
161.438,4486
161.547,4486
161.657,4486
161.766,4486
161.875,4486
161.969,4486
162.079,4486
162.188,4486
162.297,4486
162.407,4486
162.516,4486
162.61,4486
162.719,4486
162.829,4486
162.938,4486
163.047,4486
163.141,4486
163.25,4486
163.36,4486
163.469,4486
163.579,4486
163.688,4486
163.782,4486
163.891,4486
164.0,4486
164.11,4486
164.219,4486
164.329,4486
164.438,4486
164.532,4486
164.641,4486
164.75,4486
164.86,4486
164.969,4486
165.079,4486
165.172,4486
165.282,4486
165.391,4486
165.5,4486
165.61,4486
165.719,4486
165.813,4486
165.922,4486
